nodeID,nodeLabel,latitude,longitude
1,Cherkasy,49.253558906185205,31.378328773691614
2,Khmel'nyts'kyy,49.50902199502166,26.93030387981945
3,Kiev,50.297059716395374,30.4756744677347
4,Kiev City,50.447518833584574,30.550572459625723
5,Kirovohrad,48.46081431496676,32.10716061116146
6,L'viv,49.7241659774818,23.91623986033388
7,Mykolayiv,47.44197981401647,31.78984699123407
8,Odessa,46.74456817569883,29.865304771326993
9,Poltava,49.7135954679103,33.81132230425782
10,Rivne,51.04343199254276,26.39758409958993
11,Chernihiv,51.34716199954535,32.01670729226669
12,Sumy,51.094792562669305,34.14312342108412
13,Ternopil',49.40256246879125,25.640005423371523
14,Transcarpathia,48.40491453686773,23.28129631003156
15,Vinnytsya,48.92654587749257,28.69208689420323
16,Volyn,51.20264725720464,24.881792200310425
17,Zaporizhzhya,47.25138236265508,35.69955669689328
18,Zhytomyr,50.64261164618739,28.484557318091063
19,Chernivtsi,48.26984088142384,25.97109022243375
20,Dnipropetrovs'k,48.2757814980478,34.85652558944286
21,Ivano-Frankivs'k,48.705100719596544,24.60929601359676
22,Kharkiv,49.61276078504826,36.51440573200843
23,Kherson,46.660739700841596,33.5731612273888
