nodeID,nodeLabel,latitude,longitude
1,Dakar,14.754650571505957,-17.265417547836126
2,Saint-Louis,16.17557005758269,-15.00057270369076
3,Sédhiou,12.893239122705827,-15.58691172518219
4,Tambacounda,13.891979447909653,-13.225081076077444
5,Thiès,14.83183812505948,-16.754355428710916
6,Ziguinchor,12.779281961797238,-16.373966610384578
7,Diourbel,14.780962498257473,-16.120611684268326
8,Fatick,14.156330973985309,-16.34728954142171
9,Kaffrine,14.219090093697963,-15.185720446095301
10,Kaolack,13.97102209264319,-15.93260110913527
11,Kédougou,12.843418777754383,-12.19491309480842
12,Kolda,13.030193114665751,-14.416624355546869
13,Louga,15.426566813443635,-15.541613608574318
14,Matam,15.143359005690964,-13.727583280120658
