nodeID,nodeLabel,latitude,longitude
1,Rodriguez,-19.717529618897785,63.42052677367286
2,Savanne,-20.465893402002997,57.49895014854355
3,Black River,-20.330432901584096,57.40647996449515
4,Flacq,-20.22954137097854,57.717038520240806
5,Grand Port,-20.39774534410567,57.649629268572284
6,Moka,-20.250745745364636,57.58434531653425
7,Pamplemousses,-20.104385910952782,57.57249247737076
8,Plaines Wilhems,-20.319270417426594,57.499239256075455
9,Port Louis,-20.168409029239427,57.51861016876407
10,Rivière du Rempart,-20.054334011623766,57.65485636280476
