nodeID,nodeLabel,latitude,longitude
1,Bomi,6.698632753253727,-10.815444532225802
2,Maryland,4.728779302768547,-7.764821658418708
3,Montserrado,6.541931659740481,-10.548047803507956
4,Nimba,6.803092890109617,-8.772659347962325
5,River Gee,5.287212887941544,-7.8724004442550415
6,Sinoe,5.347509176035211,-8.814852732377105
7,Bong,6.948651530287229,-9.64670676852344
8,Gbapolu,7.396729215586327,-10.310649809409435
9,Grand Cape Mount,7.0935052363446625,-11.03537391219036
10,GrandBassa,6.217867864101584,-9.814847927989007
11,GrandGedeh,5.939130374903701,-8.206300844254962
12,GrandKru,4.7797767639928725,-8.186622357487163
13,Lofa,7.978003769884962,-9.865181636641173
14,Margibi,6.514745331420263,-10.208744346831809
