nodeID,nodeLabel,latitude,longitude
1,Bihor,46.829,22.153864989107554
2,Bistriţa-Năsăud,47.2495,24.546382200843023
3,Cluj,46.94,23.697683817791084
4,Maramureş,47.663000000000004,24.11150950570342
5,Satu Mare,47.777,22.945805133079848
6,Sălaj,47.171,23.131623661670233
7,Alba,45.947500000000005,23.536364604693553
8,Braşov,45.8415,25.276803571428566
9,Covasna,45.9205,26.033676020408166
10,Harghita,46.522999999999996,25.59317244398492
11,Mureş,46.5755,24.60144201788777
12,Sibiu,45.97,24.38195899749373
13,Bacău,46.326499999999996,26.83372352880695
14,Botoşani,47.7465,26.83319791666667
15,Iaşi,47.07699999999999,27.36945539280959
16,Neamţ,46.986999999999995,26.380178188899706
17,Suceava,47.53450000000001,25.80074763486312
18,Vaslui,46.604,27.746391831955922
19,Brăila,45.09949999999999,27.687532960526312
20,Buzău,45.0845,26.867759868421054
21,Constanţa,44.233,28.162990595611284
22,Galaţi,45.725500000000004,27.797594383775348
23,Tulcea,45.04299999999999,28.83768583333333
24,Vrancea,45.686499999999995,26.997207368421055
25,Argeş,44.936499999999995,24.82524032971738
26,Călăraşi,44.210499999999996,26.932917475905374
27,Dâmboviţa,44.8615,25.524451907619763
28,Giurgiu,44.146,25.943954168030103
29,Ialomiţa,44.6425,27.140063466084744
30,Prahova,45.0845,26.053162790697677
31,Teleorman,44.0535,25.17482329842932
32,Bucureşti,44.42699999999999,26.094550935251796
33,Ilfov,44.479499999999994,26.286253618628063
34,Dolj,44.233999999999995,23.60634683923432
35,Gorj,44.910999999999994,23.345734617784956
36,Mehedinţi,44.60549999999999,22.947425001418686
37,Olt,44.265,24.47107608203293
38,Vâlcea,45.086,24.146162207357857
39,Arad,46.306,21.83167857142857
40,Caraş-Severin,45.150499999999994,22.06517774034142
41,Hunedoara,45.821,22.85615909090909
42,Timiş,45.7315,21.560583308200535
