nodeID,nodeLabel,latitude,longitude
1,Busan,35.202467120818206,129.08144553202422
2,Gyeongsangnam-do,35.2998670396828,128.27773388994544
3,Incheon,37.542659333049365,126.49149965618524
4,Jeju,33.38452107018577,126.55504506695989
5,Jeollabuk-do,35.69782635068909,127.1552043519384
6,Jeollanam-do,34.86772411956629,126.90135587019878
7,Sejong,36.547582009517335,127.23919705550556
8,Seoul,37.53329786891548,126.99095441063136
9,Ulsan,35.53641488697799,129.24149211156725
10,Chungcheongbuk-do,36.70060634031383,127.8182155436063
11,Chungcheongnam-do,36.52536973315283,126.83101720956076
12,Daegu,35.78116615939339,128.57992603155574
13,Daejeon,36.31868326017745,127.37859450612459
14,Gangwon-do,37.7168307841873,128.28100983831516
15,Gwangju,35.13442287062025,126.8551262303894
16,Gyeonggi-do,37.490708272884184,127.18552322796268
17,Gyeongsangbuk-do,36.31438099314429,128.7491013241077
