nodeID,nodeLabel,latitude,longitude
1,Ayeyarwady,16.874152591697214,95.12499436979488
2,Naypyitaw,19.717915318538385,96.09499887282382
3,Rakhine,19.720378174093778,93.73592735451696
4,Sagaing,24.14207468362288,95.33650955361988
5,Shan,21.721973811610244,98.12691721221607
6,Tanintharyi,12.661493915029123,98.74518851348084
7,Yangon,16.96677141994767,96.17340236224237
8,Bago,18.298180636800062,96.13084415514857
9,Chin,22.159423199693116,93.51803900544571
10,Kachin,26.073837046513074,97.34742772712079
11,Kayah,19.23286928834193,97.3813803427058
12,Kayin,17.141313850847915,97.79734410032512
13,Magway,20.455538457895315,94.84039482362176
14,Mandalay,21.209223306268957,96.00349430157443
15,Mon,16.420134053097026,97.57842912005016
