nodeID,nodeLabel,latitude,longitude
1,Almaty,44.96226552162783,77.96178985738153
2,Qostanay,51.57868733496061,64.06200208381956
3,Qyzylorda,45.17340319505618,63.63192606195337
4,South Kazakhstan,43.20452854033531,68.50508139644187
5,West Kazakhstan,49.79126845904602,50.68380358894999
6,Zhambyl,44.293369297354566,72.2009405118786
7,Aqmola,51.75729656954342,69.9861518041563
8,Aqtöbe,48.59128006636649,58.57103407070497
9,Atyrau,47.48971163484077,52.117457798673364
10,East Kazakhstan,48.79360341902782,81.52446959980001
11,Mangghystau,44.1069210030687,53.942846867491916
12,North Kazakhstan,53.83669271567342,69.27624942740562
13,Pavlodar,52.05739507007902,76.26621171593125
14,Qaraghandy,48.17653302172855,71.0168498071749
