nodeID,nodeLabel,latitude,longitude
1,Ajlun,32.30275177610537,35.79503102041286
2,Mafraq,32.371511389483345,37.945719353949045
3,Tafilah,30.810217655828314,35.69380571455849
4,Zarqa,31.81612185679238,36.85038490942535
5,Amman,31.590441955099788,36.38414021419462
6,Aqaba,29.834484358737708,35.34813811029186
7,Balqa,32.00011716372287,35.69311294394348
8,Irbid,32.51582474833323,35.81827179389464
9,Jarash,32.241343955031134,35.93905483793309
10,Karak,31.179877551544298,35.804059806369196
11,Ma`an,30.346988189481376,36.56341965465983
12,Madaba,31.602977534042278,35.70181009232061
