nodeID,nodeLabel,latitude,longitude
1,Bougainville,-6.149165803857793,155.25778414741674
2,Jiwaka,-5.795126450050367,144.5928740893036
3,Madang,-5.160796167451944,145.28763791084225
4,Manus,-2.096238085374318,146.92401372136462
5,Milne Bay,-10.055660151826045,150.70382208335263
6,Morobe,-6.831289924077345,146.83832421567266
7,National Capital District,-9.437765529877437,147.19332142950623
8,New Ireland,-3.4698108380305577,151.92554045147045
9,Oro,-8.979919858578201,148.25115292023511
10,Sandaun,-3.91408677243866,141.7157819030443
11,Southern Highlands,-6.4543735266915325,143.58710939913277
12,Central,-9.18973878664356,147.6136566260236
13,West New Britain,-5.753983155253471,149.83652710066772
14,Western,-7.43613471047637,142.0655947996669
15,Western Highlands,-5.7664204454080945,144.19770874319238
16,Chimbu,-6.343884787925634,144.92097904783952
17,East New Britain,-5.090799317703677,151.64904788558394
18,East Sepik,-4.311829452918219,143.1717847466317
19,Eastern Highlands,-6.468114153387586,145.60872657244593
20,Enga,-5.436074186386893,143.47325123977942
21,Gulf,-7.375715545611261,144.7990054375866
22,Hela,-5.678040881552436,142.73516175546092
