nodeID,nodeLabel,latitude,longitude
1,Clarendon,17.987537844283292,-77.27951357096191
2,Saint James,18.390086414848035,-77.84646425489605
3,Saint Mary,18.284243013407355,-76.88898712517825
4,Saint Thomas,17.949580425632178,-76.45243988579638
5,Trelawny,18.363257683839286,-77.60543456406987
6,Westmoreland,18.25163721960919,-78.09351218471447
7,Hanover,18.38513027985528,-78.12577477241243
8,Kingston,17.971170348136834,-76.76680507960552
9,Manchester,18.03557751637708,-77.50705398411499
10,Portland,18.11929528852466,-76.51606942453749
11,Saint Andrew,18.047719509771674,-76.76264688900568
12,Saint Ann,18.32124328014615,-77.25981984245641
13,Saint Catherine,18.049793522451065,-77.01867897288433
14,Saint Elizabeth,18.06042800633431,-77.74420663419222
