nodeID,nodeLabel,latitude,longitude
1,Ahuachapán,13.85753791055847,-89.90191114609179
2,San Salvador,13.763285570777057,-89.16543019524634
3,San Vicente,13.601345050402102,-88.72111079399068
4,Santa Ana,14.117605129172667,-89.50516126848557
5,Sonsonate,13.6941728511369,-89.68425637893476
6,Usulután,13.38213826972509,-88.49040233382168
7,Cabañas,13.877026430351624,-88.70883855074175
8,Chalatenango,14.13117611419554,-89.07460249136922
9,Cuscatlán,13.835594986829527,-89.02002293206695
10,La Libertad,13.704214900891264,-89.36265532267012
11,La Paz,13.475243938836476,-88.96411665943023
12,La Unión,13.523140359839667,-87.8893981063544
13,Morazán,13.766452303303772,-88.10674829480793
14,San Miguel,13.536076085945913,-88.25469007093399
