nodeID,nodeLabel,latitude,longitude
1,Al Butnan,30.03614124218067,23.977810751697334
2,An Nuqat al Khams,32.667244129073275,11.925543967775926
3,Az Zawiyah,32.47153215741984,12.56629598489491
4,Benghazi,31.698174266841058,20.59343395099223
5,Darnah,31.953534184325022,22.576095008409336
6,Ghat,26.04721433815,10.592156125253478
7,Misratah,31.46957069643414,14.519341866449507
8,Murzuq,24.618480740478102,15.58828767368049
9,Nalut,30.26629830096296,10.872851294796687
10,Sabha,27.08549977492532,15.008223326600563
11,Surt,30.096547643204552,16.885363739714002
12,Al Jabal al Akhdar,32.16663259634605,21.806227464685534
13,Tripoli,32.67209638166136,13.37125716647625
14,Wadi al Hayat,26.400874123547272,12.775602842894216
15,Wadi ash Shati',27.9523417758251,12.787046881651253
16,Al Jabal al Gharbi,30.324064974705458,12.957657791960578
17,Al Jifarah,32.47233831941097,12.985138268276199
18,Al Jufrah,27.837135418566884,17.113658685174286
19,Al Kufrah,23.791090765288203,22.19304581407257
20,Al Marj,31.970769904783598,21.29847783170563
21,Al Marqab,32.34700722458038,13.998616721503948
22,Al Wahat,28.814812413691474,21.37330966032636
