nodeID,nodeLabel,latitude,longitude
1,Bocas del Toro,9.2147832578423,-82.57931628509486
2,Ngöbe Buglé,8.658102486761688,-81.77034763947759
3,Panamá,9.066192179056058,-78.85174438306287
4,Panamá Oeste,8.824692051498783,-79.9044659348839
5,Veraguas,8.091252215027808,-81.13151401085223
6,Chiriquí,8.489045377543055,-82.39849400232427
7,Coclé,8.55744602670605,-80.4262176794535
8,Colón,9.18931625018491,-80.01406582325242
9,Darién,8.1701343265893,-77.91580020272733
10,Herrera,7.854820912611733,-80.70050974680049
11,Kuna Yala,9.174796187496161,-78.31549502144495
12,Los Santos,7.58248412736852,-80.39270222260456
