nodeID,nodeLabel,latitude,longitude
1,Hlavní město Praha,50.089999999999996,14.477705722618929
2,Středočeský kraj,50.028999999999996,15.044694746197905
3,Jihočeský kraj,49.1215,14.467064786585361
4,Plzeňský kraj,49.528,13.184278321678322
5,Karlovarský kraj,50.16,12.714682992202732
6,Ústecký kraj,50.566,13.881354347826088
7,Liberecký kraj,50.702999999999996,15.003362554112554
8,Královéhradecký kraj,50.3215,15.885391060036556
9,Pardubický kraj,49.9855,16.154784641068442
10,Kraj Vysočina,49.412,15.657996732026142
11,Jihomoravský kraj,49.187,16.707615207373273
12,Olomoucký kraj,49.8615,17.030767602152455
13,Zlínský kraj,49.1665,17.660282537960956
14,Moravskoslezský kraj,49.6945,18.215105138958723
