nodeID,nodeLabel,latitude,longitude
1,Ad Dakhliyah,22.44977253607789,57.442469703583505
2,Musandam,25.955789091541483,56.28477913850127
3,Muscat,23.228701974512536,58.70366540889062
4,Al Batinah North,24.109905206784706,56.770961284135566
5,Al Batinah South,23.48183294169391,57.68358573118841
6,Al Buraymi,24.303241708606002,55.94190258911107
7,Al Dhahira,23.002921377220193,56.06119940701597
8,Al Wusta,20.58716682911948,56.891675804015
9,Ash Sharqiyah North,22.07110602009286,58.62146110070939
10,Ash Sharqiyah South,21.83283522912424,59.31644152261712
11,Dhofar,18.567593715220237,54.495795722728154
