nodeID,nodeLabel,latitude,longitude
1,Bagmati,27.882729731616664,85.41280564453815
2,Janakpur,27.27527032691888,85.98992652465553
3,Narayani,27.349629465804064,84.88563013074355
4,Koshi,27.134547700300566,87.29410420392432
5,Mechi,27.171362407889255,87.85162925611012
6,Sagarmatha,27.185468474078622,86.65721783180362
7,Mahakali,29.426720200431486,80.572116113352
8,Seti,29.26945000115072,81.14343468321789
9,Karnali,29.495452408523864,82.4202841553453
10,Rapti,28.3168953515996,82.52279776698346
11,Bheri,28.571600752422583,81.73780273161067
12,Dhaualagiri,28.670866095641095,83.60261291927353
13,Gandaki,28.316357377253432,84.35124925149894
14,Lumbini,27.74986661604918,83.43697371812584
